pirouette		[v]<<French>>（芭蕾舞）用脚尖旋转
slug			[n]鼻涕虫；动作缓慢的人；金属小块；[v]偷懒；动作迟缓；重击
slog			[v]艰苦地干（一段时间）；（用拳）猛击；长途跋涉
rampart			[n]垒；[v]用壁垒围绕，防御
mischievous		[a]淘气的，恶作剧的，有害的
vagrant			[a]流浪的；[n]流浪汉
tinder			[n]易燃物，火绒
tinderbox		[n]易燃物，容易生气的人，潜伏着暴乱危险的人
hemlock			[n]<<botany>>毒芹属植物，铁杉
charmer			[n]魔术师，可爱的人
pulp			[n]纸浆，果肉
nary			[pron]没有，决不
layabout		[n]懒汉，游荡者
wont			[n]习惯；[a]惯常的；[v]习惯于
breakneck		[a]非常危险的，非常快速的
neglect			[v]忽视，忽略
hygiene			[n]卫生学，保健
survey			[n]纵览，审视，勘测
crouch			[v]蹲伏
campsite		[n]营地
garner			[n]谷仓；[v]存入谷仓，收集
laurel			[n]<<botany>>月桂树；[v]授予荣誉
defecate		[v]澄清，排便，除去污物
cretin			[n]白痴
comeuppance		[n]因果报应
fraught			[a]充满......的；担心的，注定导致的，忧虑的
heed			[v]注意，留意
tribunal		[n]审判，法庭，裁决
wallop			[v]痛打，击溃，击败；沸腾，颠簸；[n]巨大影响，冲击；快感；啤酒
gallop			[v]疾驰，飞奔
cubby			[n]小房间
insignia		[n]记号，徽章
apostle			[n]信徒，使徒
strand			[n]海滨；线，串；[v]搁浅；使陷于困境；弄断；使落后
galactic		[a]银河的；乳汁的
rabid			[a]激烈的；狂暴的，患狂犬病的
bungle			[v]笨手笨脚地做，把...弄糟
lull			[v]使平静，平息；使放松警惕
walkie			[n]起重货车
sap				[n]树液；蠢的容易受骗的人；大棒子；[v]吸走树液；[v]捣毁；吸干
ore				[n]矿石
nugget			[n]金块；小块东西；珍品；小圆片食物
callus			[n]皮肤的硬结；植物受伤表秒形成的软组织；[v]
hassle			[n]困难，分歧，起哄；[v]争辩
battue			[n]大量捕杀，用追赶法狩猎，忙乱的集体活动
conjunction		[n]结合，连接词，连词；同时发生
guild			[n]协会，行会
flog			[v]鞭打，迫使
plough			[v]犁，耕；开路，耕田
parsley			[n]<<botany>>荷兰芹，欧芹
myrtle			[n]<<botany>>桃金娘
celandine		[n]<<botany>>白屈菜
knout			[n]皮鞭；[v]鞭打
codex			[n]法典，古抄本
spat			[n]口角；[v]争吵，掌击
tit				[n]乳头，山雀，小马，轻打
tat				[n]劣质的衣物，还击
tit for tat		以牙还牙
provision		[n]食物及必需品；（复数）食物储备
proviso			[n]（合同中）叙述一个条件的一个条款或子句
cloister		[n]修道院；与尘世隔绝
brawl			[n]喧闹，斗殴，闹事；[v]打斗，大声争吵
sideburns		[n]鬓角
suffice			[v]足够，合格
bergère			[n]法式高背扶手椅
infest			[v]骚扰，寄生，大量出没
