gustare					[v]尝
resilire				[v]往回跳
salire					[v]跳
ob-						against
loquī					说
pungere					[v]戳，叮
puncta delentia			[n]中世纪和文艺复兴时期用于标记删除某段文字的一串点
lenticularis			[a]lentil-shaped
vendre des canards à moitié		{16th France}欺骗
ancilla					[n]女仆
hieros					[a]{Greek}神圣的
glyphein				[v]{Greek}雕刻
prognōstikos			{Greek}foretelling
findere					[v]使分裂，裂开
allegare				[v]派遣某人作为代表，提供某物作为请求的证据
diligere				[v]
legere					[v]选择，挑选，阅读
sublimare				[v]抬起
euphoros				[n]{Greek}健康的
nutrire					[v]吮吸，滋养，使成长
domare					[v]驯服，征服
calāre					[v]宣布
vicis					[n]替代品
horrēre					[v]钢毛竖起，发怒
hirsutus				[n]钢毛
horripilāre				[v]颤栗
artificium				[n]艺术
vox						[n]声音
vocare					[v]叫
viridis					[a]green
viriditas				[n]greenness
brevis					[a]short
abbreviāre				[v]abbreviate
palpare					[v]
minutus					[a]small
minuere					[v]to lesse
ambi-					both
excappare				[v]to escape
cappa					[n]head covering, cloak
dividere				[v]to divide
derogare				[v]to detract, to annul (a law)
funis					[n]rope
ambulare				[v]to walk
funambulus				[n]tightrope walker
anchoreta				[n]anchorite
anachōrein				[v](Greek)to withdraw
ana-					(Greek)
chōrein					(Greek)to make room
chōros					(Greek)place
consuere				[v]to sew together
quippe					indeed; to be sure
quid					[pron]what
quis					[pron]who
saltus					[n]leap
hapticē					[n]science of touch
haptikós				[nf](Greek)able to come into contact with
haptós					[a](Greek)tangible
háptein					[v](Greek)to fasten
lugēre					[v]to mourn
crepitare				[v]to crackle
laxare					[v]to loosen
redigere				[v]
quaerere				[v]to seek
juvenis					[a]young
resuscitare				[v]to reawaken
suscitare				[v]to rouse
citare					[v]to put in motion, stir
plangere				[v]to strike, lament
comminari				[v]to threaten
minari					[v]to threaten
oscitare				[v]to yawn
os						[n]mouth
pandere					[v]to spread, unfold
suspirare				[v]to sigh
manducatio				
manducatare				
deglutire				[v]to swallow down
glutire					[v]to swallow
gurges					[n]whirlpool
sternuere				[v]to sneeze
micturire				[v]to desire to urinate
meiere					[v]to urinate
osculum					[n]kiss, little mouth
osculari				[v]to kiss
conjux, conjug-			[n]husband, wife
conjungere				[v]to join, unite in marriage
nubere					[v]to marry
nuptialis				[a]of or relating to marriage























